first_name,last_name,middle_name,street_address,zip_code
,ANDERSON,,BASSWOOD,4848.0
,ANDERSON,,BASSWOOD,4848.0
,ANDERSON,,BASSWOOD,4848.0
,ANDERSON,,BASSWOOD,4848.0
CLARA,AQUENDO,J,STARKEY,666.0
LEARONAD,BENITEZ,A,STARKEY,660.0
SAMUEL,BENITEZ,R,STARKEY,660.0
DELORES,BENITEZ,R,STARKEY,660.0
JAMEL,BODNER,C,BANK,102.0
ROSETTA,BODNER,L,BANK,102.0
MADGE,BODNER,R,BANK,102.0
ROSALIND,BODNER,N,BANK,102.0
CAROLYN,BODNER,L,BANK,102.0
IVAN,CENTURY,R,BASSWOOD,4906.0
RAMON,CENTURY,L,BASSWOOD,4906.0
ALICIA,CENTURY,B,BASSWOOD,4906.0
DONYA,CHEESMAN,L,STARKEY,690.0
DONTE,CHEESMAN,,STARKEY,690.0
DOMINIQUE,CONYERE,S,BASSWOOD,4836.0
CONNIE,CONYERE,E,BASSWOOD,4836.0
SEKOV,COSGRAVE,L,BANK,202.0
TIERRA,COSGRAVE,,BANK,202.0
THERSA,COSGRAVE,G,BANK,202.0
,COSGRAVE,L,BANK,202.0
,COSGRAVE,C,BANK,202.0
SAMMY,DANIEL LEIVA,J,RIDLEY,729.0
THAOLYNN,DANIEL LEIVA,R,RIDLEY,729.0
,DARCOURT,G,BASSWOOD,4802.0
MICHEAL,DECANAY,A,MITCHELL,112.0
AJASIA,DECANAY,M,MITCHELL,112.0
BRIANCE,DECANAY,G,MITCHELL,112.0
MILEORD,DIVERS,J,STARKEY,658.0
FRANKLIN,DOMINGUEZ,K,STARKEY,672.0
SHAVON,DOMINGUEZ,M,STARKEY,672.0
ANNA,FAUST,N,STARKEY,652.0
WESTLEY,FISCHGRUND,M,MITCHELL,110.0
NADESDIA,FISCHGRUND,A,MITCHELL,110.0
DANYCE,FISCHGRUND,L,MITCHELL,110.0
MICHAEL,GENE,C,STARKEY,686.0
CASSANDRA,GENE,C,STARKEY,686.0
GHOLOM,GIERINGER,W,BANK,200.0
JEFFERY,GIERINGER,W,BANK,200.0
JEFFERY,GIERINGER,W,BANK,200.0
DOUGLAS,GIERINGER,D,BANK,200.0
MAIRE,GIERINGER,T,BANK,200.0
TEMPESTT,GREEN,Z,BASSWOOD,4816.0
,GREEN,L,BASSWOOD,4816.0
,HENNEGGEY,L,MITCHELL,102.0
,HENNEGGEY,L,MITCHELL,102.0
RAYMOND,HILL,G,BASSWOOD,4810.0
IRVIN,JIMENCZ,V,BANK,214.0
AUNDERE,JIMENCZ,V,BANK,214.0
WILLPAMINA,JIMENCZ,S,BANK,214.0
BARBARA,JIMENEZ,M,STARKEY,674.0
,KAY,,BASSWOOD,4926.0
,KELLY,,BASSWOOD,4932.0
JORGE,KILLION,L,BASSWOOD,4914.0
TONYA,LAKATOS,M,BANK,206.0
DANEILLE,LAKATOS,S,BANK,206.0
,LASSITER,J,STARKEY,654.0
